Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Total rejections,Approval rate,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6344380534a4bee94748ebda,56a892ef7f24720006937650,APPROVED,2022-10-10T15:19:36.091000Z,2022-10-10T15:25:47.362000Z,2022-10-10T16:21:25.375000,2022-10-10T15:25:47.809479Z,372,24A88432,520,7,98,34,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
63443806319b7b64d8a062f0,5e3d2ab94aebac111b5f6cd2,APPROVED,2022-10-10T15:19:39.120000Z,2022-10-10T15:25:35.622000Z,2022-10-10T16:21:25.490000,2022-10-10T15:25:36.058041Z,357,24A88432,940,5,100,60,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
63443811016d9cacb7cd7629,615ab5533b30eca14c3ee66a,APPROVED,2022-10-10T15:19:48.652000Z,2022-10-10T15:27:27.752000Z,2022-10-10T16:21:44.654000,2022-10-10T15:27:28.165965Z,460,24A88432,231,0,100,30,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
63443811c5838ab2a948eb91,577a1ba12ed4a60001ad55dc,APPROVED,2022-10-10T15:19:45.391000Z,2022-10-10T15:30:27.387000Z,2022-10-10T16:21:25.600000,2022-10-10T15:30:27.918979Z,642,24A88432,926,1,100,60,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
634438136a46acb413c89ec1,5bf769ac2dd20c00013188d1,APPROVED,2022-10-10T15:19:53.259000Z,2022-10-10T15:27:01.717000Z,2022-10-10T16:21:25.713000,2022-10-10T15:27:02.447006Z,429,24A88432,341,0,100,30,Male,White,Canada,Canada,Canada,English,No,Full-Time
634438161c5961480f60a83c,5e88ace3ea2d7301609388da,APPROVED,2022-10-10T15:19:52.839000Z,2022-10-10T15:24:11.733000Z,2022-10-10T16:21:25.830000,2022-10-10T15:24:12.188811Z,259,24A88432,116,0,100,23,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
63443822f45b2a9dc0c89ee5,616f337c287cb7972c92cacb,APPROVED,2022-10-10T15:20:07.731000Z,2022-10-10T15:27:34.978000Z,2022-10-10T16:21:44.765000,2022-10-10T15:27:35.404662Z,448,24A88432,531,1,100,31,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
634438269e4b5c708d0d25e8,5eccd04687671e0133893894,APPROVED,2022-10-10T15:21:22.265000Z,2022-10-10T15:29:56.228000Z,2022-10-10T16:21:44.874000,2022-10-10T15:29:56.666739Z,514,24A88432,99,0,100,27,Female,White,United Kingdom,Switzerland,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
63443828319b7b64d8a062f7,5b97dba2813d530001c326ee,APPROVED,2022-10-10T15:20:11.458000Z,2022-10-10T15:28:13.370000Z,2022-10-10T16:21:25.947000,2022-10-10T15:28:13.823718Z,482,24A88432,1423,0,100,61,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6344382bd7ce3ee707b8999a,6027c9f82e967c5ce8cf4f08,APPROVED,2022-10-10T15:20:25.927000Z,2022-10-10T15:31:04.847000Z,2022-10-10T16:21:44.987000,2022-10-10T15:31:05.261930Z,639,24A88432,902,5,100,52,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6344382c0bcea4a39f00ec77,566763253045cd0005bfedaf,APPROVED,2022-10-10T15:20:32.411000Z,2022-10-10T15:27:00.981000Z,2022-10-10T16:21:26.065000,2022-10-10T15:27:01.361057Z,389,24A88432,1492,10,99,65,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
6344382dc069bfa02c7e1152,6151f70bf945f8ed4230d867,APPROVED,2022-10-10T15:20:13.665000Z,2022-10-10T15:34:12.041000Z,2022-10-10T16:21:26.178000,2022-10-10T15:34:12.479088Z,839,24A88432,375,6,98,63,Male,White,Canada,Canada,Canada,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6344382f34a4bee94748ebe1,613b94b83b5cb4c72904f8b3,APPROVED,2022-10-10T15:20:19.785000Z,2022-10-10T15:26:36.232000Z,2022-10-10T16:21:45.099000,2022-10-10T15:26:36.624597Z,377,24A88432,388,4,98,23,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
6344382f6b226afd898b85d7,5e4e5fb300231c2a82a80b17,APPROVED,2022-10-10T15:20:23.824000Z,2022-10-10T15:28:50.165000Z,2022-10-10T16:21:26.299000,2022-10-10T15:28:52.667779Z,507,24A88432,75,0,100,39,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
634438366b226afd898b85d9,62fc0feba3707f6b63d1252c,APPROVED,2022-10-10T15:20:31.112000Z,2022-10-10T15:28:23.805000Z,2022-10-10T16:21:26.420000,2022-10-10T15:28:24.273156Z,473,24A88432,56,0,100,19,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time
6344383c145914df87c0e3a3,56f17fffeaf7b7000b1b4e80,APPROVED,2022-10-10T15:20:33.418000Z,2022-10-10T15:27:22.882000Z,2022-10-10T16:21:26.538000,2022-10-10T15:27:23.290449Z,410,24A88432,1025,6,99,63,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6344383cef09e2d4852323bf,5ec13b69d1e98a551b86d934,APPROVED,2022-10-10T15:20:36.716000Z,2022-10-10T15:29:57.569000Z,2022-10-10T16:21:45.213000,2022-10-10T15:29:58.137559Z,561,24A88432,260,0,100,61,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
6344383ffb07bfc4481fff49,5f096b84c3d6931e50c95041,APPROVED,2022-10-10T15:20:34.849000Z,2022-10-10T15:26:35.151000Z,2022-10-10T16:21:45.323000,2022-10-10T15:26:35.545466Z,361,24A88432,735,2,100,49,Female,White,United States,United Kingdom,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
634438416abcfeb5861d8c40,59d1f0fffaf42e00012b6c20,APPROVED,2022-10-10T15:20:41.558000Z,2022-10-10T15:28:26.675000Z,2022-10-10T16:21:26.652000,2022-10-10T15:28:27.065708Z,466,24A88432,1540,0,100,53,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
634438504976e8cfd1ba1343,60a5a599bbb27be1974dae25,APPROVED,2022-10-10T15:21:02.604000Z,2022-10-10T15:31:17.900000Z,2022-10-10T16:21:45.431000,2022-10-10T15:31:18.353678Z,616,24A88432,215,1,100,22,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
63443851164164f6de1d8c0c,5b96b497169b86000125198e,APPROVED,2022-10-10T15:20:55.838000Z,2022-10-10T15:27:26.410000Z,2022-10-10T16:21:45.540000,2022-10-10T15:27:26.975614Z,391,24A88432,148,1,100,49,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
63443856893aab22fb9770a1,60299d096ab1b93a43d650a7,APPROVED,2022-10-10T15:28:26.344000Z,2022-10-10T15:33:19.550000Z,2022-10-10T16:21:45.644000,2022-10-10T15:33:19.939512Z,294,24A88432,374,0,100,26,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
63443857016d9cacb7cd762e,60fee0955e35639c8f71fcf3,APPROVED,2022-10-10T15:20:59.036000Z,2022-10-10T15:27:10.123000Z,2022-10-10T16:21:45.751000,2022-10-10T15:27:10.543716Z,372,24A88432,182,1,100,22,Female,Other,Yemen,Netherlands,Yemen,English,Yes,DATA_EXPIRED
6344385b21dd38f455a228cb,62a4a96a714f8db646dea5d4,APPROVED,2022-10-10T15:21:02.178000Z,2022-10-10T15:26:32.609000Z,2022-10-10T16:21:26.769000,2022-10-10T15:26:33.367603Z,331,24A88432,175,0,100,25,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
